Business_Name,Domain,Revenue,Owner,Title
Baldwin Janitorial & Paper LLC,,$100.00 million,Dwight Hinson,Member
Go Green Janitorial Services LLC,www.gogreenjanitorialservices.com,$88.00 million,Mekeisha T Thomas,Owner and Vice President
"Ls1, LLC",www.ritewayservice.com,$78.00 million,PAUL GARGAGLIANO,Finance Vice President
"Bowden Oil Company, Inc.",www.bowdenoil.com,$67.45 million,Nora Bowden,President
"Fresh N' Clean, LLC",,$60.03 million,Kenneth Jones,Member
"Felder Services, LLC",www.felderservices.com,$49.00 million,Kevin Muscat,President
"G & R Mineral Services, Inc.",www.grplantmaint.com,$48.50 million,Bobby B Rushen,President
Southern Cleaning Service Inc,www.scsi-group.com,$15.60 million,Harry Dean Goforth,President
"Smith Industrial Service, Inc.",www.smithind.com,$9.95 million,Chris Smith,President
"Spectrum Environmental Services, Inc.",www.specenviro.com,$7.50 million,Guy T Manzi,President
"B. D. & S. Services, Inc.",www.buffdustshine.com,$6.09 million,John Alvin Brewton,President
"Listerhill Total Maintenance Center, LLC",www.listerhill.com,$5.94 million,Randy Ray,President and Member
"Technical Micronics Control, Inc.",www.tmccorp.com,$5.52 million,George F Epps,Chief Executive Officer
"Southern Field Maintenance and Fabrication, L.L.C.",www.southernfield.com,$4.77 million,William L Byrd,Member and President
"Bww, Inc.",www.servproofbirmingham.com,$4.35 million,David Benjamin Wilson,Vice President
ServiceMaster,www.servicemastermobilealabama.com,$4.26 million,Robert Guthens,President
Baza Services LLC,www.baza-services.com,$4.18 million,Victor Borja,Member
Eagle Cleaning Service Inc,www.eaglecleaningservice.com,$4.01 million,Michelle Scholtz,President
"Penn & Sons, Inc.",www.pennandsonsinc.net,$3.77 million,Willie Penn,President
"Pjh Cleaning, Inc.",www.acs-clean.com,$3.35 million,Patrick J Hennessy,Chief Executive Officer
Senseman Industries Inc,www.maids.com,$3.30 million,David Senseman,President
"Office Pride of North Alabama, Inc.",www.officepride.com,$3.25 million,Troy Hopkins,President
"Uricho Services, Inc.",www.urichoinc.com,$3.22 million,Samuel Uribe,President
"Bowen-Wilson, Inc.",www.cam.sso.servpronet.com,$3.22 million,Bruce Bowen,President
"A-1 Industrial Maintenance, Inc.",www.a1industrialmaintenance.com,$3.00 million,Bobby Bailey,President
Tbsi Inc,www.trustbuildingservices.com,$2.57 million,Roger Redmond,Chief Executive Officer
Stanley Steemer of North Central Alabama Inc.,www.stanleysteemer.com,$2.55 million,Gregory Smith,President
"Two Maids Franchising, LLC",www.twomaidsfranchise.com,$2.50 million,Ron Holt,Member and Chief Executive Officer
"Peaches 'n Clean of America, Inc.",www.peachesnclean.com,$2.42 million,Pam Martin,President
SERVPRO of The Quad Cities LLC,www.servprothequadcities.com,$2.39 million,MICHAEL WESSON,Member
"Hjj, Inc.",www.servprocullmanblountcounties.com,$2.10 million,Greg Hendon,President
"CCC Services, Inc.",,$1.90 million,Elizabeth O'Brien,Chief Executive Officer
All Over Janitoral Svc Inc,www.alloverjanitorialservices.com,$1.88 million,Kleasa Boozer,President
